TimeBin,ShortLived,LongLived
45.0,600.5,1971.0
46.0,600.5,1971.0
47.0,600.5,1971.0
48.0,600.5,1971.0
49.0,514.0,1748.0
50.0,514.0,1748.0
51.0,514.0,1748.0
52.0,514.0,1748.0
53.0,514.0,1748.0
54.0,514.0,1748.0
55.0,514.0,1748.0
56.0,309.5,1431.5
57.0,309.5,1431.5
58.0,293.0,1334.5
59.0,293.0,1334.5
60.0,293.0,1334.5
61.0,247.0,1199.0
62.0,247.0,1199.0
63.0,236.0,1128.5
64.0,236.0,1128.5
65.0,236.0,1128.5
66.0,581.0,1202.0
67.0,581.0,1202.0
68.0,581.0,1202.0
69.0,774.0,1239.0
70.0,774.0,1239.0
71.0,805.0,1198.5
72.0,805.0,1198.5
73.0,805.0,1198.5
74.0,805.0,1198.5
75.0,805.0,1198.5
76.0,805.0,1198.5
77.0,805.0,1198.5
78.0,724.0,1163.5
79.0,724.0,1163.5
80.0,724.0,1163.5
81.0,724.0,1163.5
82.0,724.0,1163.5
83.0,724.0,1163.5
84.0,605.5,1107.5
85.0,562.5,1088.5
86.0,520.5,1060.5
87.0,520.5,1060.5
88.0,480.0,1051.5
89.0,480.0,1051.5
90.0,459.5,1050.0
91.0,459.5,1050.0
92.0,426.5,1035.0
93.0,426.5,1035.0
94.0,436.67,1041.63
95.0,436.67,1041.63
96.0,391.0,1028.0
97.0,391.0,1028.0
98.0,363.33,1030.37
99.0,363.33,1030.37
100.0,310.0,1017.0
101.0,310.0,1017.0
102.0,310.0,1017.0
103.0,310.0,1017.0
104.0,251.67,985.03
105.0,251.67,985.03
106.0,251.67,985.03
107.0,251.67,985.03
108.0,233.33,965.97
109.0,233.33,965.97
110.0,233.33,965.97
111.0,233.33,965.97
112.0,218.0,948.5
113.0,218.0,948.5
114.0,218.0,948.5
115.0,218.0,948.5
116.0,218.0,948.5
117.0,218.0,948.5
118.0,218.0,948.5
119.0,227.5,915.5
120.0,227.5,915.5
121.0,227.5,915.5
122.0,227.5,915.5
123.0,227.5,915.5
124.0,227.5,915.5
125.0,215.5,852.0
126.0,215.5,852.0
127.0,215.5,852.0
128.0,204.5,832.0
129.0,204.5,832.0
130.0,182.0,815.0
131.0,182.0,815.0
132.0,182.0,815.0
133.0,182.0,815.0
134.0,175.5,806.5
135.0,175.5,806.5
136.0,175.5,806.5
137.0,181.5,785.0
138.0,181.5,785.0
139.0,180.0,754.0
140.0,180.0,754.0
141.0,180.0,720.0
142.0,180.0,720.0
143.0,180.0,706.0
144.0,180.0,706.0
145.0,180.0,706.0
146.0,271.5,717.5
147.0,271.5,717.5
148.0,271.5,717.5
149.0,297.5,706.0
150.0,297.5,706.0
151.0,327.5,689.0
152.0,327.5,689.0
153.0,327.5,689.0
154.0,346.5,677.5
155.0,346.5,677.5
156.0,363.0,663.3
157.0,363.0,663.3
158.0,331.0,639.33
159.0,331.0,639.33
160.0,342.0,632.33
161.0,342.0,632.33
162.0,330.33,611.34
163.0,335.67,597.66
164.0,349.0,582.0
165.0,349.67,572.33
166.0,320.67,550.66
167.0,317.67,535.0
168.0,322.5,521.5
169.0,322.5,521.5
170.0,288.5,494.0
171.0,288.5,494.0
172.0,253.0,462.0
173.0,253.0,462.0
174.0,253.0,462.0
175.0,253.0,462.0
176.0,207.5,441.5
177.0,207.5,441.5
178.0,207.5,441.5
179.0,207.5,441.5
180.0,223.5,437.0
181.0,223.5,437.0
182.0,223.5,437.0
183.0,229.0,432.0
184.0,229.0,432.0
185.0,229.0,432.0
186.0,229.0,432.0
187.0,218.0,409.5
188.0,218.0,409.5
189.0,218.0,409.5
190.0,186.0,388.5
191.0,186.0,388.5
192.0,186.0,388.5
193.0,186.0,388.5
194.0,140.0,367.0
195.0,140.0,367.0
196.0,140.0,367.0
197.0,106.0,345.5
198.0,106.0,345.5
199.0,78.0,331.0
200.0,159.0,354.0
201.0,159.0,354.0
202.0,159.0,354.0
203.0,159.0,354.0
204.0,212.67,360.66
205.0,212.67,360.66
206.0,212.67,360.66
207.0,212.67,360.66
208.0,237.33,358.34
209.0,237.33,358.34
210.0,237.33,358.34
211.0,237.33,358.34
212.0,237.33,358.34
213.0,258.0,357.0
214.0,258.0,357.0
215.0,258.0,357.0
216.0,258.0,357.0
217.0,277.5,351.0
218.0,277.5,351.0
219.0,277.5,351.0
220.0,277.5,351.0
221.0,277.5,351.0
222.0,277.5,351.0
223.0,284.5,337.0
224.0,284.5,337.0
225.0,284.5,337.0
226.0,284.5,337.0
227.0,284.5,337.0
228.0,257.5,317.0
229.0,257.5,317.0
230.0,257.5,317.0
231.0,257.5,317.0
232.0,257.5,317.0
233.0,198.5,290.0
234.0,198.5,290.0
235.0,198.5,290.0
236.0,198.5,290.0
237.0,162.67,271.66
238.0,162.67,271.66
239.0,162.67,271.66
240.0,127.33,257.34
241.0,127.33,257.34
242.0,127.33,257.34
243.0,88.0,242.0
244.0,88.0,242.0
245.0,63.0,219.0
246.0,63.0,219.0
247.0,63.0,219.0
248.0,41.5,195.0
249.0,41.5,195.0
250.0,28.5,180.0
251.0,124.5,299.0
252.0,124.5,299.0
253.0,124.5,299.0
254.0,182.5,393.5
255.0,182.5,393.5
256.0,182.5,393.5
257.0,182.5,393.5
258.0,182.5,393.5
259.0,182.5,393.5
260.0,182.5,393.5
261.0,329.0,507.5
262.0,329.0,507.5
263.0,329.0,507.5
264.0,329.0,507.5
265.0,329.0,507.5
266.0,390.5,541.5
267.0,390.5,541.5
268.0,390.5,541.5
269.0,390.5,541.5
270.0,390.5,541.5
271.0,404.33,561.0
272.0,404.33,561.0
273.0,404.33,561.0
274.0,404.33,561.0
275.0,404.33,561.0
276.0,355.67,573.33
277.0,355.67,573.33
278.0,355.67,573.33
279.0,355.67,573.33
280.0,311.0,588.67
281.0,311.0,588.67
282.0,311.0,588.67
283.0,311.0,588.67
284.0,311.0,588.67
285.0,307.5,601.5
286.0,307.5,601.5
287.0,307.5,601.5
288.0,307.5,601.5
289.0,307.5,601.5
290.0,248.0,609.5
291.0,248.0,609.5
292.0,248.0,609.5
293.0,248.0,609.5
294.0,248.0,609.5
295.0,204.0,612.0
296.0,204.0,612.0
297.0,179.5,603.5
298.0,179.5,603.5
299.0,223.0,611.0
300.0,223.0,611.0
301.0,223.0,611.0
302.0,223.0,611.0
303.0,223.0,611.0
304.0,236.5,610.0
305.0,236.5,610.0
306.0,236.5,610.0
307.0,261.5,617.0
308.0,261.5,617.0
309.0,261.5,617.0
310.0,236.5,610.5
311.0,236.5,610.5
312.0,208.0,595.5
313.0,208.0,595.5
314.0,208.0,595.5
315.0,191.5,582.5
316.0,191.5,582.5
317.0,191.5,582.5
318.0,191.5,582.5
319.0,195.0,572.5
320.0,195.0,572.5
321.0,195.0,572.5
322.0,195.0,572.5
323.0,344.5,603.5
324.0,344.5,603.5
325.0,344.5,603.5
326.0,344.5,603.5
327.0,428.0,615.5
328.0,428.0,615.5
329.0,428.0,615.5
330.0,428.0,615.5
331.0,428.0,615.5
332.0,428.0,615.5
333.0,428.0,615.5
334.0,428.0,615.5
335.0,428.0,615.5
336.0,417.5,586.5
337.0,417.5,586.5
338.0,417.5,586.5
339.0,417.5,586.5
340.0,417.5,586.5
341.0,417.5,586.5
342.0,417.5,586.5
343.0,417.5,586.5
344.0,417.5,586.5
345.0,417.5,586.5
346.0,371.0,561.5
347.0,371.0,561.5
348.0,371.0,561.5
349.0,371.0,561.5
350.0,371.0,561.5
351.0,371.0,561.5
352.0,371.0,561.5
353.0,259.0,542.5
354.0,259.0,542.5
355.0,259.0,542.5
356.0,259.0,542.5
357.0,259.0,542.5
358.0,259.0,542.5
359.0,259.0,542.5
360.0,202.67,513.66
361.0,202.67,513.66
362.0,202.67,513.66
363.0,202.67,513.66
364.0,202.67,513.66
365.0,184.0,491.67
366.0,184.0,491.67
367.0,184.0,491.67
368.0,184.0,491.67
369.0,184.0,491.67
370.0,169.33,483.67
371.0,169.33,483.67
372.0,169.33,483.67
373.0,169.33,483.67
374.0,169.33,483.67
375.0,275.67,489.66
376.0,275.67,489.66
377.0,275.67,489.66
378.0,275.67,489.66
379.0,333.67,497.0
380.0,333.67,497.0
381.0,333.67,497.0
382.0,375.67,503.33
383.0,375.67,503.33
384.0,375.67,503.33
385.0,375.67,503.33
386.0,507.0,523.0
387.0,507.0,523.0
388.0,507.0,523.0
389.0,584.0,525.0
390.0,584.0,525.0
391.0,584.0,525.0
392.0,675.5,518.5
393.0,675.5,518.5
394.0,675.5,518.5
395.0,706.5,513.0
396.0,706.5,513.0
397.0,706.5,513.0
398.0,748.0,500.0
399.0,748.0,500.0
400.0,748.0,500.0
401.0,748.0,500.0
402.0,748.0,500.0
403.0,718.5,489.0
404.0,718.5,489.0
405.0,718.5,489.0
406.0,718.5,489.0
407.0,606.0,469.5
408.0,606.0,469.5
409.0,606.0,469.5
410.0,543.5,463.0
411.0,543.5,463.0
412.0,502.5,459.5
413.0,502.5,459.5
414.0,465.5,453.0
415.0,465.5,453.0
416.0,500.0,450.0
417.0,500.0,450.0
418.0,500.0,450.0
419.0,560.0,466.0
420.0,560.0,466.0
421.0,560.0,466.0
422.0,624.0,469.0
